freq,psd_x,psd_y,psd_z,psd_xyz
178.0,2.948e+02,4.013e+02,3.038e+02,1.000e+03
179.6,3.133e+02,3.897e+02,3.081e+02,1.011e+03
181.2,3.370e+02,4.201e+02,3.001e+02,1.057e+03
182.7,3.100e+02,4.001e+02,2.996e+02,1.010e+03
184.3,3.049e+02,3.979e+02,3.090e+02,1.012e+03
185.9,2.759e+02,3.902e+02,3.035e+02,9.696e+02
187.5,2.659e+02,3.758e+02,3.177e+02,9.594e+02
189.0,2.775e+02,3.623e+02,3.061e+02,9.459e+02
190.6,2.761e+02,3.601e+02,3.285e+02,9.646e+02
192.2,2.683e+02,3.646e+02,3.203e+02,9.532e+02
193.8,2.615e+02,3.499e+02,3.085e+02,9.200e+02
195.3,2.616e+02,3.409e+02,3.288e+02,9.313e+02
196.9,2.776e+02,3.477e+02,3.460e+02,9.714e+02
198.5,2.747e+02,3.186e+02,3.305e+02,9.238e+02
200.1,2.551e+02,3.158e+02,3.160e+02,8.869e+02
201.6,2.522e+02,3.519e+02,3.557e+02,9.597e+02
